id,smiles,notes,params_json
CHEMBL180470,C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(O)cc4OC[C@H]32)CC1,,
CHEMBL180396,CC(C)(Oc1cccc(-c2ccccc2)c1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1,,
CHEMBL180397,CC(C)(CC1=N[C@H](c2ccccc2)[C@H](c2ccccc2)N1)c1ccccc1,,
CHEMBL180324,CC(C)(C)C(=O)OCSCCCCCCC(=O)Nc1ccccc1,,
CHEMBL3326773,O=c1c2c(F)cccc2nc(CSc2ncnc3[nH]cnc23)n1-c1ccccc1Cl,,
CHEMBL3326774,O=c1c2ccc(F)cc2nc(CSc2ncnc3[nH]cnc23)n1-c1ccccc1Cl,,
CHEMBL180255,Cc1ccccc1-c1cc(C(OCc2ccc(C(C)C)cc2)c2cncn2C)ccc1C#N,,
CHEMBL3326988,COc1ccccc1N1CCN(CCCCC(=O)NCc2ccccc2-c2c(OC)cccc2OC)CC1,,
CHEMBL179612,Cc1c(-c2ccccc2F)c(=O)n(C[C@H](N)c2ccccc2)c(=O)n1Cc1ccccc1Cl,,
CHEMBL179621,Cc1ccsc1-c1ccc(F)nc1,,
CHEMBL180774,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(N(C)C)C(=O)[C@H]1C)C(C)C)c1ccccc1,,
CHEMBL180780,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(C)C(=O)[C@H]1CC)C(C)C)c1ccccc1,,
CHEMBL180784,O=C(Nc1ccc2c(c1)CC1CCC(C2)C1NS(=O)(=O)c1ccc(Cl)s1)OCc1ccccc1,,
CHEMBL180705,N=C(N)NCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCCC[C@@H]1NC(=O)[C@H](CCCCNC(=O)[C@H](CCCN=C(N)N)NC(=O)c2ccccc2)NC1=O,,
CHEMBL180549,O=c1c2ccccc2nc(-c2ccccc2F)n1CCc1ccccc1,,
CHEMBL180550,Cc1ccccc1-c1cc(C(OCc2cccc(OC(F)(F)F)c2)c2cncn2C)ccc1C#N,,
CHEMBL180474,Cc1ccccc1Sc1nc(Nc2ccc(C#N)cc2)c(=O)n(C)c1C,,
CHEMBL180330,O=C(NCCO)c1[nH]c2ccc(Cl)cc2c1Sc1ccccc1,,
CHEMBL180332,CC(C)CN(CC(=O)NN(Cc1ccccc1)c1cnccn1)NC(=O)Cc1cccc(Br)c1,,
CHEMBL180414,CC(C)c1ccccc1Sc1ccc(-c2ccnc(N3CCCC(C)(C)C3)c2)cc1C(F)(F)F,,
CHEMBL179943,O=c1c(C2=NS(=O)(=O)c3ccccc3N2)c(O)c2cccnc2n1Cc1ccccc1,,
CHEMBL179945,NNC(=O)CSc1nc2scc(-c3ccccc3)c2c(=O)n1-c1ccccc1,,
CHEMBL179946,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,,
CHEMBL179705,CC(Cc1ccccc1)C1=N[C@H](c2ccccc2)[C@H](c2ccccc2)N1,,
CHEMBL180857,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,,
CHEMBL180863,CC(C)[C@H](NC(=O)C[C@H](NC(=O)/C=C/c1ccc(Cl)c(Cl)c1)c1ccccc1)C(=O)[C@@H]1C(=O)NC(=O)[C@H]1C,,
CHEMBL180866,O=C1c2ccccc2C(OCCCO)(c2ccccc2)N1Cc1ccccc1,,
CHEMBL180635,CS(=O)(=O)N(CC1CC1)c1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)c2ccc3ncccc3c2)CC1,,
CHEMBL180720,O=C(O/N=C/c1ccc(F)cc1)c1ccccc1,,
CHEMBL180406,O=C(CS)NCCCCCCC(=O)Nc1ccccc1,,
CHEMBL180407,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)N2CC=CC2C(=O)NCCCCC(=O)O)cc1,,
CHEMBL180412,CC(C)c1ccccc1Sc1ccc(-c2cc(N3CCCC(c4nn[nH]n4)C3)ncn2)cc1C(F)(F)F,,
CHEMBL180487,CN(c1ccccc1N1CCN(C(=O)[C@@H](Cc2ccc(Cl)cc2)NC(=O)[C@@H]2Cc3ccccc3CN2)CC1)S(C)(=O)=O,,
CHEMBL180336,O=c1c2ccccc2nc(-c2ccco2)n1CCc1ccccc1,,
CHEMBL178747,CC(C)CC(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)C(=O)N[C@H](CNN)Cc1ccccc1,,
CHEMBL4442789,Cc1noc(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)cn2)c1CNS(=O)(=O)CCc1ccccc1,,
CHEMBL4442792,Nc1ccccc1NC(=O)c1ccc(CNc2cccc3c2N(S(=O)(=O)c2ccc(Cl)cc2)CC3)cc1,,
CHEMBL179791,Cc1c(NS(C)(=O)=O)cccc1N(Cc1ccccc1)Cc1ccc(Oc2ccc(CCCC(=O)NCC(=O)O)cc2)cc1,,
CHEMBL180939,COc1ccccc1CC(=O)N1CCC(N2CCC(Cc3ccc(Br)cc3)CC2)CC1,,
CHEMBL181014,C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@H](C(=O)[C@@H]1C(=O)N(CCOC)C(=O)[C@H]1C)C(C)C)c1ccccc1,,
CHEMBL180940,O=C(Nc1ccc(Sc2ccc(F)cc2)cc1)N[C@@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1,,
CHEMBL180942,O=C(Nc1ccc(OCc2ccccc2)cc1)N[C@@H](Cc1ccccc1)C(=O)NCCCN1CCOCC1,,
CHEMBL180944,O=C(O)CC(c1c[nH]cn1)N(CCCc1ccccc1)Cc1cccc2ccccc12,,
CHEMBL180869,CCOC(=O)[C@@H]1CCCCC1NC(=O)C(Cc1ccccc1)c1coc2ccc(C(=N)N)cc12,,
CHEMBL180874,COc1ccccc1N1CCN(CC2Nc3ccccc3S(=O)(=O)N2)CC1,,
CHEMBL180798,O=S(=O)(Nc1ccccc1)c1ccc(F)cc1,,
CHEMBL180639,O=C(/C=C/c1ccccc1)NC(NC(=S)NC(=O)c1ccccc1)C(Cl)(Cl)Cl,,
CHEMBL180574,N#Cc1c(N)nc2c(c1N)Cc1ccccc1S2(=O)=O,,
